City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,18.44,58,24,5.75,AU,1731292843
1,kolonia,50.9333,6.95,10.07,92,100,1.54,DE,1731292844
2,bubaque,11.2833,-15.8333,29.34,59,0,2.09,GW,1731292845
3,hawaiian paradise park,19.5933,-154.9731,25.96,84,75,3.6,US,1731292846
4,qarqaraly,49.4058,75.4742,-1.67,95,100,8.69,KZ,1731292848
5,luderitz,-26.6481,15.1594,13.42,85,0,6.65,NA,1731292849
6,sitka,57.0531,-135.33,8.94,57,40,7.72,US,1731292850
7,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,93,100,4.0,RU,1731292851
8,pakokku,21.3333,95.1,25.6,70,12,2.78,MM,1731292852
9,pritzwalk,53.1494,12.1741,6.77,80,64,1.57,DE,1731292853
10,saipan,15.1355,145.701,32.39,80,20,5.66,MP,1731292854
11,pacific grove,36.6177,-121.9166,14.25,79,0,1.79,US,1731292856
12,itoman,26.1247,127.6694,28.21,83,40,6.17,JP,1731292857
13,adamstown,-25.066,-130.1015,21.77,76,100,3.8,PN,1731292858
14,perugorria,-29.3413,-58.6106,21.7,52,0,4.0,AR,1731292859
15,waitangi,-43.9535,-176.5597,16.01,88,98,3.13,NZ,1731292860
16,launceston,-41.45,147.1667,18.8,45,0,5.66,AU,1731292861
17,olonkinbyen,70.9221,-8.7187,0.95,95,100,8.23,SJ,1731292862
18,crane,31.3974,-102.3501,16.06,22,2,1.45,US,1731292863
19,tiksi,71.6872,128.8694,-18.25,100,93,0.83,RU,1731292865
20,tarawa,1.419,172.984,31.05,66,40,5.66,KI,1731292866
21,albany,42.6001,-73.9662,7.23,76,100,1.93,US,1731292816
22,punta arenas,-53.15,-70.9167,6.06,65,20,3.09,CL,1731292868
23,klyuchi,52.2667,79.1667,0.17,98,100,6.58,RU,1731292869
24,oamaru,-45.0784,170.9801,11.17,63,27,8.93,NZ,1731292870
25,ust-nera,64.5667,143.2,-22.55,97,96,1.29,RU,1731292872
26,blackmans bay,-43.0167,147.3167,18.62,54,5,0.89,AU,1731292873
27,santa cruz,-17.8,-63.1667,26.7,78,4,2.06,BO,1731292707
28,geraldton,-28.7667,114.6,24.23,50,0,5.66,AU,1731292876
29,natal,-5.795,-35.2094,26.12,73,40,2.57,BR,1731292578
30,marsabit,2.3284,37.9899,18.5,81,90,5.86,KE,1731292879
31,lebu,-37.6167,-73.65,10.54,89,7,2.16,CL,1731292880
32,dahlonega,34.5326,-83.9849,14.53,96,100,1.2,US,1731292881
33,newman,37.3138,-121.0208,13.92,64,2,2.09,US,1731292724
34,sao felix do xingu,-6.6447,-51.995,24.88,70,100,1.44,BR,1731292883
35,vorgashor,67.5833,63.95,-15.5,99,90,2.84,RU,1731292884
36,wailua homesteads,22.0669,-159.378,25.44,84,100,6.17,US,1731292885
37,kapenguria,1.2511,35.0895,13.34,77,45,1.86,KE,1731292887
38,pangai,-19.8,-174.35,25.06,78,75,9.77,TO,1731292888
39,st. john's,47.5649,-52.7093,2.76,77,75,9.77,CA,1731292889
40,alice springs,-23.7,133.8833,25.75,57,81,3.09,AU,1731292890
41,ilulissat,69.2167,-51.1,-6.99,73,38,0.0,GL,1731292891
42,bethel,41.3712,-73.414,12.23,76,100,1.54,US,1731292892
43,campbellton,48.0075,-66.6727,1.25,79,100,1.69,CA,1731292893
44,yellowknife,62.456,-114.3525,-12.71,85,75,2.06,CA,1731292894
45,kodiak,57.79,-152.4072,3.73,81,75,4.63,US,1731292896
46,kingston,17.997,-76.7936,27.53,83,20,3.09,JM,1731292897
47,grytviken,-54.2811,-36.5092,-1.17,88,100,1.39,GS,1731292898
48,longyearbyen,78.2186,15.6401,-1.09,93,75,1.54,SJ,1731292899
49,port mathurin,-19.6833,63.4167,24.09,78,75,9.67,MU,1731292900
50,port-aux-francais,-49.35,70.2167,4.93,86,95,9.48,TF,1731292901
51,fale old settlement,-9.3852,-171.2468,28.18,75,15,4.94,TK,1731292903
52,alesund,62.4723,6.1549,7.08,76,75,3.6,NO,1731292904
53,colares,38.7992,-9.4469,17.96,82,30,7.22,PT,1731292905
54,kununurra,-15.7667,128.7333,36.99,44,20,2.57,AU,1731292727
55,college,64.8569,-147.8028,-17.01,81,20,2.06,US,1731292908
56,jamestown,42.097,-79.2353,13.34,96,100,5.66,US,1731292834
57,bikenibeu village,1.3673,173.1241,30.98,66,40,5.66,KI,1731292911
58,isafjordur,66.0755,-23.124,3.12,80,71,12.09,IS,1731292912
59,edinburgh of the seven seas,-37.0676,-12.3116,15.93,88,90,15.38,SH,1731292913
60,talnakh,69.4865,88.3972,-24.36,88,49,0.78,RU,1731292914
61,tanguieta,10.6212,1.2665,22.4,35,12,2.51,BJ,1731292915
62,flying fish cove,-10.4217,105.6791,27.82,83,100,5.14,CX,1731292919
63,belo sur tsiribihina,-19.7,44.55,23.83,81,6,1.1,MG,1731292921
64,nemuro,43.3236,145.575,10.23,77,100,9.1,JP,1731292922
65,beloyarskiy,63.7119,66.6722,-12.21,83,98,5.69,RU,1731292923
66,haiku-pauwela,20.9219,-156.3051,25.28,71,8,12.07,US,1731292925
67,rodna,47.4167,24.8167,2.29,76,11,1.93,RO,1731292926
68,suvorov,54.1223,36.4966,-0.77,94,15,1.45,RU,1731292927
69,iqaluit,63.7506,-68.5145,-4.15,68,100,3.6,CA,1731292928
70,cabo san lucas,22.8909,-109.9124,24.31,71,0,4.63,MX,1731292866
71,visby,57.6409,18.296,6.01,93,100,3.09,SE,1731292930
72,igarka,67.4667,86.5833,-14.55,91,99,4.22,RU,1731292933
73,mlangali,-9.7833,34.5167,14.85,88,11,2.5,TZ,1731292934
74,shar'ya,58.3686,45.5144,0.13,79,100,2.86,RU,1731292935
75,vila franca do campo,37.7167,-25.4333,20.23,99,79,5.42,PT,1731292936
76,slaton,33.4373,-101.6435,12.82,54,24,1.95,US,1731292937
77,nokia,61.4667,23.5,1.99,94,100,2.24,FI,1731292939
78,vorkuta,67.5,64.0,-15.77,99,89,2.75,RU,1731292940
79,cooper's town,26.8667,-77.5167,24.99,87,92,9.23,BS,1731292941
80,kirensk,57.7853,108.1119,-7.92,84,72,1.68,RU,1731292942
81,llallagua,-18.4167,-66.6333,10.59,49,6,0.6,BO,1731292943
82,sisimiut,66.9395,-53.6735,-6.45,79,100,3.92,GL,1731292944
83,puerto natales,-51.7236,-72.4875,4.47,94,92,2.59,CL,1731292946
84,gwanda,-20.9333,29.0,22.16,69,100,2.24,ZW,1731292947
85,remire-montjoly,4.9167,-52.2667,25.02,100,75,1.03,GF,1731292949
86,yeppoon,-23.1333,150.7333,26.44,66,94,5.26,AU,1731292950
87,mount gambier,-37.8333,140.7667,20.84,45,89,3.87,AU,1731292951
88,yoro,15.1333,-87.1333,19.97,97,6,1.15,HN,1731292952
89,mudanya,40.3753,28.8822,11.31,83,100,1.85,TR,1731292953
90,tura,25.5198,90.2201,25.3,65,0,0.76,IN,1731292954
91,talara,-4.5772,-81.2719,18.95,86,100,6.44,PE,1731292764
92,murghob,38.1702,73.9667,-6.07,66,59,2.31,TJ,1731292957
93,iskateley,67.6803,53.1512,-10.88,88,32,2.64,RU,1731292958
94,christchurch,-43.5333,172.6333,15.53,53,100,8.23,NZ,1731292846
95,pizarro,4.9533,-77.366,25.24,82,99,3.35,CO,1731292960
96,sanok,49.5557,22.2056,0.61,80,0,0.99,PL,1731292961
